run_id,seed,variant,host,date,code,turn_std,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,log_likelihood,log_likelihood_per_step,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
4fc83f15de75,1,0.0045,labdesktop,2026-09-20T09:56:27+00:00,1073b69d29e5,0.0045,0.0343965,0.1825,0,0.530438,0.00274552,0.661603,0.0352081,2763.05,6.90763,1.86095,1.43446,0.0352096,0.0139813,0.0237927,0.265494,0.663734
1953a8260d06,2,0.0045,labdesktop,2026-09-20T09:56:27+00:00,1073b69d29e5,0.0045,0.0392235,0.175,0,0.518457,0.00266667,0.666654,0.0770805,2727.19,6.81798,2.4485,1.69141,0.039635,0.0160965,0.0263546,0.242053,0.605132
7c888784e22e,3,0.0045,labdesktop,2026-09-20T09:56:27+00:00,1073b69d29e5,0.0045,0.0357665,0.18,0,0.545056,0.00265409,0.673389,0.183602,2789.16,6.97289,2.39722,1.69865,0.0365688,0.0115299,0.0508186,0.263321,0.658302
ecdce5886c2a,4,0.0045,labdesktop,2026-09-20T09:56:28+00:00,1073b69d29e5,0.0045,0.040499,0.19,0,0.526553,0.00257591,0.667928,0.157426,2840.12,7.10029,2.94542,2.36093,0.0429125,0.0150245,0.0775071,0.226823,0.567057
67e9eadc30e0,5,0.0045,labdesktop,2026-09-20T09:56:28+00:00,1073b69d29e5,0.0045,0.0386663,0.18,0,0.519319,0.00260552,0.669847,0.0636695,2722.87,6.80717,2.2451,1.58465,0.0390383,0.0181447,0.0178038,0.223225,0.558062
4be5a776818d,6,0.0045,labdesktop,2026-09-20T09:56:28+00:00,1073b69d29e5,0.0045,0.0324733,0.17,0,0.530426,0.00259193,0.667182,0.190486,2882.4,7.206,1.51003,1.15447,0.0331242,0.014074,0.0649346,0.224304,0.56076
9a2eea90d127,7,0.0045,labdesktop,2026-09-20T09:56:28+00:00,1073b69d29e5,0.0045,0.0380457,0.185,0,0.536865,0.00260251,0.672032,0.0984417,2820.04,7.0501,2.21217,1.64858,0.0390159,0.0163522,0.0416771,0.226613,0.566532
6a3d96874bb5,8,0.0045,labdesktop,2026-09-20T09:56:28+00:00,1073b69d29e5,0.0045,0.0476288,0.1775,0,0.513817,0.00255184,0.673031,0.0627462,2754.8,6.88701,2.74507,1.80752,0.0485081,0.0287416,0.0325872,0.249207,0.623018
d8628a0c7e45,9,0.0045,labdesktop,2026-09-20T09:56:28+00:00,1073b69d29e5,0.0045,0.0346365,0.1875,0,0.525147,0.00262702,0.662654,0.170006,2768.88,6.92219,1.71077,1.36141,0.0347792,0.0156886,0.00711058,0.225626,0.564065
404ba0d6d213,10,0.0045,labdesktop,2026-09-20T09:56:28+00:00,1073b69d29e5,0.0045,0.0355904,0.175,0,0.535729,0.00257814,0.680393,0.0695938,2816.5,7.04124,2.66995,1.95575,0.0370571,0.0106677,0.0342516,0.230016,0.575041
b99e5d82fd4a,11,0.0045,labdesktop,2026-09-20T09:56:28+00:00,1073b69d29e5,0.0045,0.0356071,0.17,0,0.505029,0.00273735,0.664758,0.00481887,2757.75,6.89438,2.59766,1.84377,0.0357268,0.0127025,0.0365914,0.225237,0.563093
ecd8d4aa22ca,12,0.0045,labdesktop,2026-09-20T09:56:28+00:00,1073b69d29e5,0.0045,0.0355451,0.19,0,0.544355,0.00259808,0.672938,0.201075,2824.48,7.06121,2.29229,1.7947,0.0369933,0.0144592,0.0469962,0.228763,0.571909
df780b9ac886,13,0.0045,labdesktop,2026-09-20T09:56:28+00:00,1073b69d29e5,0.0045,0.038758,0.1675,0,0.506104,0.00260529,0.671669,0.113739,2797.46,6.99365,2.15313,1.62633,0.0396619,0.0155192,0.0219023,0.223674,0.559185
