run_id,seed,variant,host,date,code,forward_std,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,log_likelihood,log_likelihood_per_step,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
12f6005a1502,9,0.02,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.02,0.0451665,0.4,0,0.507333,0.00100984,0.58858,0.231534,197.104,6.57013,1.60166,1.69799,0.0533617,0.0418243,0.0668464,0.0707158,2.35719
2f7e980753b5,10,0.02,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.02,0.0314819,0.333333,0,0.5349,0.00123585,0.60692,0.26543,214.841,7.16136,2.07239,1.9918,0.0432059,0.0260067,0.0426688,0.0641478,2.13826
09307638fe9a,11,0.02,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.02,0.0401069,0.333333,0,0.5221,0.00140999,0.558798,0.256205,215.01,7.16701,3.26526,2.79667,0.0434422,0.032321,0.0562557,0.0342925,1.14308
65266655ccd2,12,0.02,labdesktop,2026-09-20T09:56:21+00:00,1073b69d29e5,0.02,0.0418508,0.366667,0,0.489818,0.00116599,0.564832,0.221059,191.728,6.39094,5.09452,4.43181,0.0644853,0.0369664,0.0655705,0.0351349,1.17116
6b43dc78ff19,13,0.02,labdesktop,2026-09-20T09:56:21+00:00,1073b69d29e5,0.02,0.0565386,0.366667,0,0.512091,0.00129839,0.57914,0.260989,216.312,7.2104,2.75357,2.47167,0.0689783,0.0454925,0.0532024,0.0354687,1.18229
3b6a86f10458,14,0.02,labdesktop,2026-09-20T09:56:21+00:00,1073b69d29e5,0.02,0.0497573,0.433333,0,0.491077,0.001082,0.566823,0.186882,183.613,6.12044,2.90259,2.89843,0.0738211,0.0360135,0.0347567,0.0724485,2.41495
a6880a17f629,15,0.02,labdesktop,2026-09-20T09:56:21+00:00,1073b69d29e5,0.02,0.0513625,0.333333,0,0.49735,0.00123198,0.576252,0.272017,218.406,7.2802,3.8171,4.09173,0.074255,0.0295893,0.0209452,0.0675064,2.25021
20fd9b0f4318,16,0.02,labdesktop,2026-09-20T09:56:21+00:00,1073b69d29e5,0.02,0.0417289,0.333333,0,0.5067,0.00118682,0.598117,0.107174,226.981,7.56604,2.51003,1.98473,0.0534778,0.0289751,0.0289978,0.0676687,2.25562
053789b5f990,17,0.02,labdesktop,2026-09-20T09:56:21+00:00,1073b69d29e5,0.02,0.0547271,0.333333,0,0.47375,0.00111151,0.597009,0.0335775,194.545,6.48483,2.91665,2.19926,0.0733219,0.0421537,0.0611164,0.0660963,2.20321
3ef17393450f,18,0.02,labdesktop,2026-09-20T09:56:21+00:00,1073b69d29e5,0.02,0.0448303,0.3,0,0.4755,0.00139408,0.567777,0.139245,198.51,6.61701,2.80516,2.81641,0.0741864,0.0422154,0.0662547,0.0328372,1.09457
