run_id,seed,variant,host,date,code,n_particles,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
f089d107af2a,16,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.124068,0.433333,0,0.474462,0.00702286,0.558383,0.0145812,5.32361,0.332471,0.150858,0.457822,0.0224139,0.0150424,0.501414
1560ef022998,17,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.172882,0.466667,0,0.408571,0.00759406,0.501871,0.0085669,6.38221,0.667423,0.207571,0.981491,0.140383,0.0152082,0.50694
9997968bb841,18,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.122262,0.4,0,0.427333,0.00797352,0.525297,0.0154548,1.23426,0.577071,0.145335,0.229309,0.154596,0.0145162,0.483873
fed9c5eeebef,19,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.248178,0.466667,0,0.452286,0.00700428,0.534831,0.00605596,6.07016,0.384913,0.256288,0.585586,0.037676,0.0151705,0.505683
78d4c0d94653,0,500,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,500,0.331098,0.566667,0,0.432353,0.00348575,0.454734,0.00807239,36.6864,2.05648,0.475125,0.972391,0.0742665,0.0271894,0.906313
b97ff8e77f4c,1,500,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,500,0.120374,0.433333,0,0.440308,0.00369647,0.538796,0.012373,2.61304,0.201488,0.141844,1.02932,0.0672304,0.0241817,0.806057
35aaa120f9b1,2,500,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,500,0.132444,0.366667,0,0.458909,0.00430925,0.550577,0.00506308,1.60779,0.797362,0.143357,0.145067,0.0663637,0.0224703,0.749009
f60d0becd645,3,500,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,500,0.108272,0.4,0,0.469,0.00380461,0.549429,0.0147953,0.770405,0.490424,0.108283,0.387239,0.0320207,0.0239752,0.799172
4ab377e41d2a,4,500,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,500,0.140152,0.466667,0,0.463429,0.00368287,0.526549,0.00860516,2.59844,0.378443,0.190109,0.46074,0.111158,0.0248249,0.827498
461eef77efb3,5,500,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,500,0.205243,0.433333,0,0.394615,0.00369886,0.510382,0.00576907,11.1623,0.565134,0.228029,0.737527,0.0691427,0.0241603,0.805344
