run_id,seed,variant,host,date,code,resampler,n_particles,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,map_error,map_error_aligned,landmarks_mapped,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
4000eb30a375,13,"resampler: Residual, n_particles: 10",aiserver,2026-09-14T08:33:42+00:00,d7328d3e3c3f,residual,10,0.216382,1,0,0.784,0.1,0.887649,0.490958,0.689019,0.119911,8,1377.42,130.695,0.718738,0.0585189,0.558271,0.791245,1.58249
dcbdd694085c,14,"resampler: Residual, n_particles: 10",aiserver,2026-09-14T08:33:42+00:00,d7328d3e3c3f,residual,10,0.261568,1,0,0.7824,0.1,0.89656,0.620495,0.692748,0.094323,8,4010.93,292.669,0.741335,0.0310803,1.0026,0.792789,1.58558
f3ae20b80c79,15,"resampler: Residual, n_particles: 10",aiserver,2026-09-14T08:33:42+00:00,d7328d3e3c3f,residual,10,0.328338,1,0,0.7856,0.1,0.888518,0.579969,2.17073,0.153556,8,16118.3,1361.35,1.9774,0.143498,1.86995,0.790387,1.58077
8c501acff8aa,16,"resampler: Residual, n_particles: 10",aiserver,2026-09-14T08:33:42+00:00,d7328d3e3c3f,residual,10,0.269672,1,0,0.7792,0.1,0.883788,0.542487,0.261701,0.10706,8,365.331,92.7158,0.316006,0.0304774,0.239753,0.792003,1.58401
aeda3b19c2fd,17,"resampler: Residual, n_particles: 10",aiserver,2026-09-14T08:33:42+00:00,d7328d3e3c3f,residual,10,0.285884,1,0,0.7858,0.1,0.896164,0.53154,0.550492,0.143108,8,434.587,94.3048,0.555347,0.0547309,0.465245,0.793018,1.58604
bedd104f8aa6,18,"resampler: Residual, n_particles: 10",aiserver,2026-09-14T08:33:42+00:00,d7328d3e3c3f,residual,10,0.268821,1,0,0.7858,0.1,0.892321,0.505705,0.737181,0.0987952,8,4562.57,453.605,0.755673,0.0492844,0.755541,0.796042,1.59208
bb7795db0277,19,"resampler: Residual, n_particles: 10",aiserver,2026-09-14T08:33:42+00:00,d7328d3e3c3f,residual,10,0.290898,1,0,0.7838,0.1,0.891491,0.454176,0.58619,0.131813,8,1391.76,369.048,0.581678,0.0305894,0.341514,0.80345,1.6069
3e838c74742c,0,"resampler: Residual, n_particles: 50",aiserver,2026-09-14T08:33:43+00:00,d7328d3e3c3f,residual,50,0.297324,1,0,0.784,0.02,0.898347,0.738041,0.494233,0.0875852,8,20.5658,7.15936,0.582842,0.0678713,0.128765,1.43587,2.87173
70f80037e26b,1,"resampler: Residual, n_particles: 50",aiserver,2026-09-14T08:33:43+00:00,d7328d3e3c3f,residual,50,0.190003,1,0,0.77496,0.02,0.889155,0.681146,0.280184,0.0783776,8,8.10825,5.46152,0.335852,0.0230683,0.509376,1.44072,2.88144
1b9ad2ba0447,2,"resampler: Residual, n_particles: 50",aiserver,2026-09-14T08:33:43+00:00,d7328d3e3c3f,residual,50,0.188418,1,0,0.77616,0.02,0.888854,0.640158,0.564982,0.0920634,8,20.2851,9.35861,0.504554,0.0544193,0.577213,1.43753,2.87506
d460a85b9d50,3,"resampler: Residual, n_particles: 50",aiserver,2026-09-14T08:33:43+00:00,d7328d3e3c3f,residual,50,0.177343,1,0,0.77796,0.02,0.893819,0.670249,0.809394,0.0778378,8,28.1574,17.0798,0.740474,0.0440347,0.986298,1.43915,2.87831
